tweetdate,compound,neg,neu,pos
2018-12-17,4.8954,0.10300000000000001,4.506,1.391
2018-12-18,0.9529999999999998,1.0870000000000002,8.451,1.4649999999999999
2018-12-19,4.3395,1.214,9.735999999999999,2.048
2018-12-20,3.3046000000000006,1.286,13.123000000000001,2.5900000000000003
2018-12-21,4.989699999999999,1.41,15.543,3.0499999999999994
2018-12-22,2.5237000000000003,0.5690000000000001,7.193999999999999,2.2359999999999998
2018-12-23,2.0534,1.2190000000000003,8.343,1.4389999999999998
2018-12-24,6.762699999999999,1.047,13.915000000000003,3.0380000000000003
2018-12-25,2.3714000000000004,0.053,1.4769999999999999,1.47
2018-12-26,0.8875,0.0,0.645,0.355
2018-12-27,-1.0179,1.183,9.269,1.5510000000000002
2018-12-28,0.37639999999999996,0.318,4.146,0.536
2018-12-29,-0.2955000000000001,0.8039999999999999,5.4079999999999995,0.7879999999999999
2018-12-30,2.8818,0.318,3.398,1.2839999999999998
2018-12-31,0.40990000000000015,1.007,9.234,1.7599999999999998
2019-01-01,3.2038,1.811,14.55,3.6399999999999992
2019-01-02,0.9962,0.162,2.269,0.569
2019-01-03,3.3545,0.515,7.055000000000001,1.4300000000000002
2019-01-04,4.1723,0.17099999999999999,5.05,1.7790000000000001
2019-01-05,1.0194000000000003,1.3769999999999998,8.475,2.149
2019-01-06,0.9115000000000003,1.0849999999999997,9.233999999999998,1.679
2019-01-07,-1.9561999999999995,0.917,4.4110000000000005,0.672
2019-01-08,3.9130000000000003,0.271,3.1969999999999996,1.532
2019-01-09,1.2086999999999999,0.27899999999999997,5.676,1.045
2019-01-10,3.0204000000000004,1.4310000000000003,12.312,3.2569999999999997
2019-01-11,1.5668000000000002,1.069,11.094,1.837
2019-01-12,-3.523399999999999,1.976,9.736,1.288
2019-01-13,-0.36949999999999994,1.15,6.676,1.174
2019-01-14,3.8989000000000003,1.9189999999999998,20.232999999999997,2.8470000000000004
2019-01-15,2.0071000000000003,1.5970000000000002,14.793000000000001,2.608
2019-01-16,-0.8095,0.299,1.504,0.197
